event_date,event_timestamp,event_name,event_params,event_value_in_usd,user_id,user_pseudo_id,traffic_source
20230725,1690286740017592,page_view,"[{'key': 'page_location', 'value': {'string_value': 'https://4geeksacademy.com/us/coding-bootcamps/part-time-full-stack-developer', 'int_value': None, 'float_value': None, 'double_value': None}}
 {'key': 'ga_session_number', 'value': {'string_value': None, 'int_value': 1, 'float_value': None, 'double_value': None}}
 {'key': 'engaged_session_event', 'value': {'string_value': None, 'int_value': 1, 'float_value': None, 'double_value': None}}
 {'key': 'page_referrer', 'value': {'string_value': 'https://4geeksacademy.com/us/index', 'int_value': None, 'float_value': None, 'double_value': None}}
 {'key': 'ga_session_id', 'value': {'string_value': None, 'int_value': 1690286705, 'float_value': None, 'double_value': None}}
 {'key': 'session_engaged', 'value': {'string_value': '1', 'int_value': None, 'float_value': None, 'double_value': None}}
 {'key': 'page_title', 'value': {'string_value': 'Miami Coding Bootcamp, Madrid España, Santiago de Chile · 4Geeks Academy', 'int_value': None, 'float_value': None, 'double_value': None}}
 {'key': 'engagement_time_msec', 'value': {'string_value': None, 'int_value': 31, 'float_value': None, 'double_value': None}}
 {'key': 'ignore_referrer', 'value': {'string_value': 'true', 'int_value': None, 'float_value': None, 'double_value': None}}]",,,917850678.1690286706,"{'name': '(organic)', 'medium': 'organic', 'source': 'google'}"
20230725,1690286942514087,page_view,"[{'key': 'page_location', 'value': {'string_value': 'https://4geeksacademy.com/us/next-dates', 'int_value': None, 'float_value': None, 'double_value': None}}
 {'key': 'ga_session_id', 'value': {'string_value': None, 'int_value': 1690286705, 'float_value': None, 'double_value': None}}
 {'key': 'engaged_session_event', 'value': {'string_value': None, 'int_value': 1, 'float_value': None, 'double_value': None}}
 {'key': 'ignore_referrer', 'value': {'string_value': 'true', 'int_value': None, 'float_value': None, 'double_value': None}}
 {'key': 'ga_session_number', 'value': {'string_value': None, 'int_value': 1, 'float_value': None, 'double_value': None}}
 {'key': 'page_referrer', 'value': {'string_value': 'https://4geeksacademy.com/us/coding-bootcamps/part-time-full-stack-developer', 'int_value': None, 'float_value': None, 'double_value': None}}
 {'key': 'session_engaged', 'value': {'string_value': '1', 'int_value': None, 'float_value': None, 'double_value': None}}
 {'key': 'page_title', 'value': {'string_value': 'Upcoming dates, cohorts, workshops and events at 4Geeks Academy · 4Geeks Academy', 'int_value': None, 'float_value': None, 'double_value': None}}
 {'key': 'engagement_time_msec', 'value': {'string_value': None, 'int_value': 378, 'float_value': None, 'double_value': None}}]",,,917850678.1690286706,"{'name': '(organic)', 'medium': 'organic', 'source': 'google'}"
20230725,1690286988676905,page_view,"[{'key': 'ga_session_number', 'value': {'string_value': None, 'int_value': 1, 'float_value': None, 'double_value': None}}
 {'key': 'engagement_time_msec', 'value': {'string_value': None, 'int_value': 478, 'float_value': None, 'double_value': None}}
 {'key': 'ignore_referrer', 'value': {'string_value': 'true', 'int_value': None, 'float_value': None, 'double_value': None}}
 {'key': 'page_title', 'value': {'string_value': 'Become a Software Engineer at 4Geeks Academy · 4Geeks Academy', 'int_value': None, 'float_value': None, 'double_value': None}}
 {'key': 'page_referrer', 'value': {'string_value': 'https://4geeksacademy.com/us/next-dates', 'int_value': None, 'float_value': None, 'double_value': None}}
 {'key': 'ga_session_id', 'value': {'string_value': None, 'int_value': 1690286705, 'float_value': None, 'double_value': None}}
 {'key': 'session_engaged', 'value': {'string_value': '1', 'int_value': None, 'float_value': None, 'double_value': None}}
 {'key': 'engaged_session_event', 'value': {'string_value': None, 'int_value': 1, 'float_value': None, 'double_value': None}}
 {'key': 'page_location', 'value': {'string_value': 'https://4geeksacademy.com/us/coding-bootcamps/software-engineer-bootcamp', 'int_value': None, 'float_value': None, 'double_value': None}}]",,,917850678.1690286706,"{'name': '(organic)', 'medium': 'organic', 'source': 'google'}"
20230725,1690286994597413,page_view,"[{'key': 'page_title', 'value': {'string_value': 'Upcoming dates, cohorts, workshops and events at 4Geeks Academy · 4Geeks Academy', 'int_value': None, 'float_value': None, 'double_value': None}}
 {'key': 'engaged_session_event', 'value': {'string_value': None, 'int_value': 1, 'float_value': None, 'double_value': None}}
 {'key': 'session_engaged', 'value': {'string_value': '1', 'int_value': None, 'float_value': None, 'double_value': None}}
 {'key': 'ignore_referrer', 'value': {'string_value': 'true', 'int_value': None, 'float_value': None, 'double_value': None}}
 {'key': 'page_location', 'value': {'string_value': 'https://4geeksacademy.com/us/next-dates', 'int_value': None, 'float_value': None, 'double_value': None}}
 {'key': 'ga_session_number', 'value': {'string_value': None, 'int_value': 1, 'float_value': None, 'double_value': None}}
 {'key': 'ga_session_id', 'value': {'string_value': None, 'int_value': 1690286705, 'float_value': None, 'double_value': None}}
 {'key': 'engagement_time_msec', 'value': {'string_value': None, 'int_value': 880, 'float_value': None, 'double_value': None}}
 {'key': 'page_referrer', 'value': {'string_value': 'https://4geeksacademy.com/us/coding-bootcamps/software-engineer-bootcamp', 'int_value': None, 'float_value': None, 'double_value': None}}]",,,917850678.1690286706,"{'name': '(organic)', 'medium': 'organic', 'source': 'google'}"
20230725,1690287004237887,page_view,"[{'key': 'ignore_referrer', 'value': {'string_value': 'true', 'int_value': None, 'float_value': None, 'double_value': None}}
 {'key': 'engaged_session_event', 'value': {'string_value': None, 'int_value': 1, 'float_value': None, 'double_value': None}}
 {'key': 'engagement_time_msec', 'value': {'string_value': None, 'int_value': 626, 'float_value': None, 'double_value': None}}
 {'key': 'page_location', 'value': {'string_value': 'https://4geeksacademy.com/us/coding-campus/coding-bootcamp-lisbon-portugal', 'int_value': None, 'float_value': None, 'double_value': None}}
 {'key': 'page_referrer', 'value': {'string_value': 'https://4geeksacademy.com/us/next-dates', 'int_value': None, 'float_value': None, 'double_value': None}}
 {'key': 'page_title', 'value': {'string_value': 'Coding Bootcamp in Lisbon, Portugal · 4Geeks Academy', 'int_value': None, 'float_value': None, 'double_value': None}}
 {'key': 'session_engaged', 'value': {'string_value': '1', 'int_value': None, 'float_value': None, 'double_value': None}}
 {'key': 'ga_session_id', 'value': {'string_value': None, 'int_value': 1690286705, 'float_value': None, 'double_value': None}}
 {'key': 'ga_session_number', 'value': {'string_value': None, 'int_value': 1, 'float_value': None, 'double_value': None}}]",,,917850678.1690286706,"{'name': '(organic)', 'medium': 'organic', 'source': 'google'}"
20230725,1690287290912514,page_view,"[{'key': 'session_engaged', 'value': {'string_value': '1', 'int_value': None, 'float_value': None, 'double_value': None}}
 {'key': 'ignore_referrer', 'value': {'string_value': 'true', 'int_value': None, 'float_value': None, 'double_value': None}}
 {'key': 'page_referrer', 'value': {'string_value': 'https://4geeksacademy.com/us/coding-bootcamps/machine-learning-engineering', 'int_value': None, 'float_value': None, 'double_value': None}}
 {'key': 'ga_session_id', 'value': {'string_value': None, 'int_value': 1690330458, 'float_value': None, 'double_value': None}}
 {'key': 'page_title', 'value': {'string_value': 'Coding Bootcamp Málaga, Spain with 4Geeks Academy · 4Geeks Academy', 'int_value': None, 'float_value': None, 'double_value': None}}
 {'key': 'engaged_session_event', 'value': {'string_value': None, 'int_value': 1, 'float_value': None, 'double_value': None}}
 {'key': 'ga_session_number', 'value': {'string_value': None, 'int_value': 1, 'float_value': None, 'double_value': None}}
 {'key': 'page_location', 'value': {'string_value': 'https://4geeksacademy.com/us/coding-campus/coding-bootcamp-malaga-spain', 'int_value': None, 'float_value': None, 'double_value': None}}
 {'key': 'engagement_time_msec', 'value': {'string_value': None, 'int_value': 300, 'float_value': None, 'double_value': None}}]",,,1866964847.1690330458,"{'name': '(referral)', 'medium': 'referral', 'source': 'fotolog.com'}"
20230725,1690338068347420,page_view,"[{'key': 'page_referrer', 'value': {'string_value': 'https://4geeksacademy.com/us/apply', 'int_value': None, 'float_value': None, 'double_value': None}}
 {'key': 'page_location', 'value': {'string_value': 'https://4geeksacademy.com/us/apply', 'int_value': None, 'float_value': None, 'double_value': None}}
 {'key': 'ga_session_id', 'value': {'string_value': None, 'int_value': 1690338075, 'float_value': None, 'double_value': None}}
 {'key': 'session_engaged', 'value': {'string_value': '0', 'int_value': None, 'float_value': None, 'double_value': None}}
 {'key': 'ignore_referrer', 'value': {'string_value': 'true', 'int_value': None, 'float_value': None, 'double_value': None}}
 {'key': 'page_title', 'value': {'string_value': 'Apply to 4Geeks Academy Bootcamp · 4Geeks Academy', 'int_value': None, 'float_value': None, 'double_value': None}}
 {'key': 'ga_session_number', 'value': {'string_value': None, 'int_value': 8, 'float_value': None, 'double_value': None}}
 {'key': 'engaged_session_event', 'value': {'string_value': None, 'int_value': 1, 'float_value': None, 'double_value': None}}
 {'key': 'entrances', 'value': {'string_value': None, 'int_value': 1, 'float_value': None, 'double_value': None}}]",,,190577647.1689364494,"{'name': '**LP - Smart - USA - Discovery', 'medium': 'cpc', 'source': 'google'}"
20230725,1690324794694257,page_view,"[{'key': 'engagement_time_msec', 'value': {'string_value': None, 'int_value': 229, 'float_value': None, 'double_value': None}}
 {'key': 'session_engaged', 'value': {'string_value': '1', 'int_value': None, 'float_value': None, 'double_value': None}}
 {'key': 'ignore_referrer', 'value': {'string_value': 'true', 'int_value': None, 'float_value': None, 'double_value': None}}
 {'key': 'ga_session_id', 'value': {'string_value': None, 'int_value': 1690324775, 'float_value': None, 'double_value': None}}
 {'key': 'engaged_session_event', 'value': {'string_value': None, 'int_value': 1, 'float_value': None, 'double_value': None}}
 {'key': 'page_title', 'value': {'string_value': 'Aplica a 4Geeks Academy Bootcamp · 4Geeks Academy', 'int_value': None, 'float_value': None, 'double_value': None}}
 {'key': 'ga_session_number', 'value': {'string_value': None, 'int_value': 1, 'float_value': None, 'double_value': None}}
 {'key': 'page_location', 'value': {'string_value': 'https://4geeksacademy.com/es/aplica', 'int_value': None, 'float_value': None, 'double_value': None}}
 {'key': 'page_referrer', 'value': {'string_value': 'https://4geeksacademy.com/es/coding-bootcamps/desarrollador-full-stack?utm_source=fb&utm_medium=ppc&utm_campaign=23856128805530510&utm_id=23856128805530510&utm_term=23856128805470510&utm_content=23856129228690510', 'int_value': None, 'float_value': None, 'double_value': None}}]",,,1279080411.1690324775,"{'name': '23856128805530510', 'medium': 'ppc', 'source': 'fb'}"
20230725,1690314792183776,page_view,"[{'key': 'ignore_referrer', 'value': {'string_value': 'true', 'int_value': None, 'float_value': None, 'double_value': None}}
 {'key': 'session_engaged', 'value': {'string_value': '1', 'int_value': None, 'float_value': None, 'double_value': None}}
 {'key': 'ga_session_id', 'value': {'string_value': None, 'int_value': 1690314753, 'float_value': None, 'double_value': None}}
 {'key': 'page_referrer', 'value': {'string_value': 'https://4geeksacademy.com/us/coding-bootcamps/part-time-full-stack-developer?ref=elisa40&gclid=Cj0KCQjw5f2lBhCkARIsAHeTvliG3Ck1Hp4FvV3FbqK_WxoqMH-OzQk-6X15Q163_vtlAo8BT0CZXEUaAsOwEALw_wcB', 'int_value': None, 'float_value': None, 'double_value': None}}
 {'key': 'page_location', 'value': {'string_value': 'https://4geeksacademy.com/us/next-dates', 'int_value': None, 'float_value': None, 'double_value': None}}
 {'key': 'engagement_time_msec', 'value': {'string_value': None, 'int_value': 604, 'float_value': None, 'double_value': None}}
 {'key': 'ga_session_number', 'value': {'string_value': None, 'int_value': 1, 'float_value': None, 'double_value': None}}
 {'key': 'engaged_session_event', 'value': {'string_value': None, 'int_value': 1, 'float_value': None, 'double_value': None}}
 {'key': 'page_title', 'value': {'string_value': 'Upcoming dates, cohorts, workshops and events at 4Geeks Academy · 4Geeks Academy', 'int_value': None, 'float_value': None, 'double_value': None}}]",,,1926500118.1690314753,"{'name': '(direct)', 'medium': '(none)', 'source': '(direct)'}"
20230725,1690314880760223,page_view,"[{'key': 'engaged_session_event', 'value': {'string_value': None, 'int_value': 1, 'float_value': None, 'double_value': None}}
 {'key': 'ga_session_id', 'value': {'string_value': None, 'int_value': 1690314753, 'float_value': None, 'double_value': None}}
 {'key': 'page_title', 'value': {'string_value': 'Become an AI master with us at our Machine Learning Engineer Bootcamp · 4Geeks Academy', 'int_value': None, 'float_value': None, 'double_value': None}}
 {'key': 'page_location', 'value': {'string_value': 'https://4geeksacademy.com/us/coding-bootcamps/machine-learning-engineering', 'int_value': None, 'float_value': None, 'double_value': None}}
 {'key': 'session_engaged', 'value': {'string_value': '1', 'int_value': None, 'float_value': None, 'double_value': None}}
 {'key': 'page_referrer', 'value': {'string_value': 'https://4geeksacademy.com/us/next-dates', 'int_value': None, 'float_value': None, 'double_value': None}}
 {'key': 'engagement_time_msec', 'value': {'string_value': None, 'int_value': 42, 'float_value': None, 'double_value': None}}
 {'key': 'ignore_referrer', 'value': {'string_value': 'true', 'int_value': None, 'float_value': None, 'double_value': None}}
 {'key': 'ga_session_number', 'value': {'string_value': None, 'int_value': 1, 'float_value': None, 'double_value': None}}]",,,1926500118.1690314753,"{'name': '(direct)', 'medium': '(none)', 'source': '(direct)'}"
