user_id,cohort_id,educational_status,session_count,approved_projects
243,19,GRADUATED,,
244,30,GRADUATED,,
244,19,GRADUATED,,
245,30,GRADUATED,,
245,19,GRADUATED,,
246,31,GRADUATED,,
246,23,GRADUATED,,
247,31,GRADUATED,,
248,31,GRADUATED,,
248,20,GRADUATED,,
248,41,GRADUATED,,
249,31,GRADUATED,,
250,31,SUSPENDED,,
251,31,GRADUATED,,
252,31,GRADUATED,,
252,20,GRADUATED,,
253,31,GRADUATED,,
254,31,GRADUATED,,
254,20,GRADUATED,,
255,31,GRADUATED,,
256,31,GRADUATED,,
256,20,GRADUATED,,
257,31,GRADUATED,,
258,31,GRADUATED,,
258,20,GRADUATED,,
259,31,GRADUATED,,
259,20,GRADUATED,,
260,31,GRADUATED,,
260,20,GRADUATED,,
261,21,GRADUATED,,
263,31,GRADUATED,,
264,22,ACTIVE,,
265,31,GRADUATED,,
265,20,GRADUATED,,
266,31,SUSPENDED,,
266,20,SUSPENDED,,
267,31,GRADUATED,,
267,20,GRADUATED,,
268,13,GRADUATED,,
269,21,ACTIVE,,
270,32,GRADUATED,,
271,32,GRADUATED,,
272,32,GRADUATED,,
273,32,GRADUATED,,
274,32,GRADUATED,,
275,32,GRADUATED,,
276,32,GRADUATED,,
277,32,GRADUATED,,
278,32,GRADUATED,,
279,32,GRADUATED,,
280,32,GRADUATED,,
281,32,GRADUATED,,
282,32,GRADUATED,,
283,32,GRADUATED,,
287,24,GRADUATED,,
288,24,ACTIVE,,
289,24,ACTIVE,,
290,24,ACTIVE,,
292,24,ACTIVE,,
293,24,ACTIVE,,
294,24,ACTIVE,,
285,24,ACTIVE,,
295,20,ACTIVE,,
296,29,GRADUATED,,
297,29,GRADUATED,,
298,29,GRADUATED,,
299,29,GRADUATED,,
300,32,GRADUATED,,
301,32,GRADUATED,,
302,32,SUSPENDED,,
303,32,GRADUATED,,
304,32,GRADUATED,,
305,32,GRADUATED,,
306,32,GRADUATED,,
306,23,GRADUATED,,
307,21,GRADUATED,,
308,32,GRADUATED,,
309,32,GRADUATED,,
310,32,GRADUATED,,
312,33,GRADUATED,,
312,21,GRADUATED,,
313,33,GRADUATED,,
313,21,GRADUATED,,
314,33,GRADUATED,,
314,21,GRADUATED,,
315,33,GRADUATED,,
315,21,GRADUATED,,
316,29,GRADUATED,,
317,33,GRADUATED,,
317,21,GRADUATED,,
318,33,GRADUATED,,
318,21,GRADUATED,,
319,33,GRADUATED,,
319,21,GRADUATED,,
321,34,ACTIVE,,
322,34,ACTIVE,,
322,22,ACTIVE,,
4198,484,ACTIVE,7,
324,22,ACTIVE,,
325,34,ACTIVE,,
326,34,ACTIVE,,
327,34,ACTIVE,,
328,34,ACTIVE,1,
329,34,ACTIVE,,
330,34,ACTIVE,,
332,27,ACTIVE,,
333,27,ACTIVE,,
334,27,ACTIVE,,
335,27,ACTIVE,,
336,27,ACTIVE,,
337,27,ACTIVE,,
338,27,ACTIVE,,
339,27,ACTIVE,,
340,27,ACTIVE,,
341,35,ACTIVE,,
342,35,ACTIVE,,
320,33,GRADUATED,,
343,35,ACTIVE,,
344,35,ACTIVE,,
345,35,ACTIVE,,
346,35,ACTIVE,,
347,35,ACTIVE,,
348,35,ACTIVE,,
349,35,ACTIVE,,
350,35,ACTIVE,,
351,35,ACTIVE,,
352,39,ACTIVE,,
352,23,ACTIVE,,
307,33,DROPPED,,
331,34,ACTIVE,,
355,22,ACTIVE,,
356,22,ACTIVE,,
357,22,ACTIVE,,
358,22,ACTIVE,,
359,22,ACTIVE,,
360,22,ACTIVE,,
361,22,ACTIVE,,
362,39,ACTIVE,,
363,39,ACTIVE,,
364,23,ACTIVE,,
365,39,ACTIVE,,
366,39,ACTIVE,,
367,25,ACTIVE,,
368,25,ACTIVE,,
369,25,ACTIVE,,
370,25,ACTIVE,,
371,25,ACTIVE,,
372,65,ACTIVE,,
372,66,ACTIVE,,
373,25,ACTIVE,,
374,39,ACTIVE,,
374,23,ACTIVE,,
375,39,ACTIVE,,
375,23,ACTIVE,,
375,41,ACTIVE,,
376,39,ACTIVE,,
376,23,ACTIVE,,
311,33,GRADUATED,,
311,63,GRADUATED,,
311,21,GRADUATED,,
377,39,ACTIVE,,
377,23,ACTIVE,,
378,71,ACTIVE,,
379,40,ACTIVE,,
380,40,ACTIVE,,
381,40,ACTIVE,,
382,39,ACTIVE,,
382,23,ACTIVE,,
383,39,ACTIVE,,
383,23,ACTIVE,,
384,23,ACTIVE,,
385,39,ACTIVE,,
386,40,ACTIVE,,
386,41,ACTIVE,,
387,40,ACTIVE,,
388,40,ACTIVE,,
388,49,ACTIVE,,
389,40,ACTIVE,,
389,41,ACTIVE,,
390,40,ACTIVE,,
390,41,ACTIVE,,
391,40,ACTIVE,,
391,41,ACTIVE,,
392,40,ACTIVE,,
393,47,ACTIVE,,
394,47,ACTIVE,,
395,47,ACTIVE,,
396,47,ACTIVE,,
397,47,ACTIVE,,
398,47,ACTIVE,,
399,47,ACTIVE,,
400,47,ACTIVE,,
401,47,ACTIVE,,
402,47,ACTIVE,,
403,47,ACTIVE,,
404,47,ACTIVE,,
405,47,ACTIVE,,
406,47,ACTIVE,,
407,47,ACTIVE,,
408,47,ACTIVE,,
409,47,ACTIVE,,
410,47,ACTIVE,,
411,47,ACTIVE,,
412,47,ACTIVE,,
413,47,ACTIVE,,
414,40,ACTIVE,,
414,49,ACTIVE,,
415,40,ACTIVE,,
415,41,ACTIVE,,
416,40,ACTIVE,,
416,41,ACTIVE,,
417,40,ACTIVE,,
417,41,ACTIVE,,
418,40,ACTIVE,,
418,49,ACTIVE,,
450,60,GRADUATED,,
420,40,ACTIVE,,
420,49,ACTIVE,,
421,40,GRADUATED,,
421,42,GRADUATED,,
422,31,ACTIVE,,
423,31,ACTIVE,,
424,31,ACTIVE,,
425,31,ACTIVE,,
426,31,ACTIVE,,
427,31,GRADUATED,,
427,62,GRADUATED,,
428,43,ACTIVE,,
429,48,ACTIVE,,
430,48,ACTIVE,,
431,48,ACTIVE,,
432,48,ACTIVE,,
433,48,ACTIVE,,
434,48,ACTIVE,,
435,40,ACTIVE,,
435,41,ACTIVE,,
436,43,ACTIVE,,
436,61,ACTIVE,,
437,49,ACTIVE,,
438,48,ACTIVE,,
439,48,ACTIVE,,
440,48,ACTIVE,,
441,40,ACTIVE,,
441,41,ACTIVE,,
442,60,GRADUATED,,
442,55,GRADUATED,,
442,99,GRADUATED,,
442,95,GRADUATED,,
3667,191,ACTIVE,,11
443,41,ACTIVE,,
445,60,POSTPONED,,
445,50,POSTPONED,,
446,60,GRADUATED,,
446,50,GRADUATED,,
448,60,GRADUATED,,
444,50,GRADUATED,,
444,60,GRADUATED,,
448,50,GRADUATED,,
449,48,ACTIVE,,
419,41,DROPPED,21,
451,60,GRADUATED,,
452,60,POSTPONED,,
452,50,POSTPONED,,
511,56,GRADUATED,,
452,51,POSTPONED,,
453,60,SUSPENDED,,
458,51,ACTIVE,,
458,52,ACTIVE,,
465,60,ACTIVE,,
466,60,ACTIVE,,
467,60,ACTIVE,,
468,60,ACTIVE,,
469,60,ACTIVE,,
470,60,GRADUATED,,
470,50,GRADUATED,,
471,50,GRADUATED,,
472,48,ACTIVE,,
1774,119,GRADUATED,,
474,60,GRADUATED,,
474,50,GRADUATED,,
475,60,GRADUATED,,
491,56,GRADUATED,,
476,60,GRADUATED,,
476,50,GRADUATED,,
477,60,ACTIVE,,
478,60,GRADUATED,,
478,50,GRADUATED,,
479,64,ACTIVE,,
479,89,ACTIVE,,
480,32,ACTIVE,,
481,32,ACTIVE,,
482,32,ACTIVE,,
483,32,ACTIVE,,
484,32,ACTIVE,,
485,60,ACTIVE,,
486,60,GRADUATED,,
487,60,ACTIVE,,
488,60,ACTIVE,1,
488,51,ACTIVE,1,
488,52,ACTIVE,1,
489,60,ACTIVE,,
490,60,ACTIVE,,
491,60,GRADUATED,,
492,60,ACTIVE,,
493,60,ACTIVE,,
495,60,GRADUATED,,
496,42,ACTIVE,,
497,60,GRADUATED,,
498,42,ACTIVE,,
499,42,ACTIVE,,
501,42,ACTIVE,,
502,60,POSTPONED,,
503,60,ACTIVE,,
504,60,ACTIVE,,
505,60,ACTIVE,,
506,60,ACTIVE,,
507,60,ACTIVE,,
508,42,GRADUATED,,
493,56,ACTIVE,,
509,43,ACTIVE,,
510,60,GRADUATED,,
511,60,GRADUATED,,
512,42,ACTIVE,1,
512,43,ACTIVE,1,
495,56,GRADUATED,,
514,42,ACTIVE,,
515,60,ACTIVE,,
516,44,ACTIVE,,
517,42,ACTIVE,,
486,56,GRADUATED,,
497,56,GRADUATED,,
457,60,GRADUATED,,
510,56,DROPPED,,
500,79,DROPPED,,
518,42,ACTIVE,,
519,60,GRADUATED,,
519,51,GRADUATED,,
520,60,ACTIVE,,
459,60,GRADUATED,,
458,60,GRADUATED,,
460,60,GRADUATED,,
461,60,GRADUATED,,
462,60,GRADUATED,,
463,60,GRADUATED,,
464,60,GRADUATED,,
479,61,DROPPED,,
496,61,DROPPED,,
498,61,DROPPED,,
500,61,DROPPED,,
501,61,DROPPED,,
508,61,DROPPED,,
514,61,DROPPED,,
516,61,DROPPED,,
517,61,DROPPED,,
518,61,DROPPED,,
521,62,GRADUATED,,
522,43,ACTIVE,,
523,60,GRADUATED,,
523,51,GRADUATED,,
524,62,ACTIVE,,
525,44,ACTIVE,,
526,61,ACTIVE,,
526,62,ACTIVE,,
530,51,GRADUATED,,
530,60,GRADUATED,,
531,51,GRADUATED,,
531,60,GRADUATED,,
532,60,ACTIVE,,
533,61,ACTIVE,,
533,62,ACTIVE,,
534,60,ACTIVE,,
535,60,ACTIVE,,
536,62,ACTIVE,,
536,61,ACTIVE,,
537,61,GRADUATED,,
537,63,GRADUATED,,
538,61,ACTIVE,,
539,61,ACTIVE,,
539,64,ACTIVE,,
540,61,ACTIVE,,
540,70,ACTIVE,,
541,64,ACTIVE,,
542,64,ACTIVE,,
543,64,ACTIVE,,
544,64,ACTIVE,,
545,64,ACTIVE,,
546,64,ACTIVE,,
547,64,ACTIVE,,
548,61,GRADUATED,,
548,63,GRADUATED,,
549,65,ACTIVE,,
549,66,ACTIVE,,
550,65,ACTIVE,,
550,66,ACTIVE,,
551,65,ACTIVE,,
551,66,ACTIVE,,
552,60,ACTIVE,,
553,60,GRADUATED,,
553,57,GRADUATED,,
554,60,ACTIVE,,
555,65,ACTIVE,,
555,66,ACTIVE,,
557,65,ACTIVE,,
557,66,ACTIVE,,
559,65,ACTIVE,,10
559,66,ACTIVE,,
560,65,ACTIVE,,
560,66,ACTIVE,,
522,61,DROPPED,,
524,61,DROPPED,,
525,61,DROPPED,,
562,60,GRADUATED,,
562,57,GRADUATED,,
563,60,GRADUATED,,
563,58,GRADUATED,,
564,65,ACTIVE,,
564,66,ACTIVE,,
565,60,GRADUATED,,
566,65,ACTIVE,,
566,66,ACTIVE,,
567,60,GRADUATED,,
